Name,Latitude,Longitude,Google,TripAdvisor,Price,Type,ImgURL,Description
Hosier Lane,-37.81648270161715,144.9691573998194,4.2,4,0,City Tour,https://amble.guide/wp-content/uploads/2022/05/Hosier-Lane-Melbourne-1.jpg,"When people think of Melbourne, many think of the incredible laneways; these winding burrows channel the life of the city. These thin alleys are filled with cafes, street-art, bars and buskers; they are brimming with charm and an essential visit for any tourist. Originally dingy service lanes (built to service local businesses and residents) Melbourne’s laneways were first revitalized in the 1980’s by the city council. This ushered in many small businesses and the beginning of a Melbourne icon. Melbourne’s most popular and commercial laneway is Hosier Lane, just down from Flinder’s Street Station. This laneway is bursting with street art from local artists, including a giant mural of a young Indigenous boy."
Block Arcade,-37.81564241058802,144.96465576851242,4.5,4.5,0,City Tour,https://amble.guide/wp-content/uploads/2022/05/Block-Arcade-Melbourne-3.jpg,"Standing in stark contrast to the city’s laneways are the glamourous arcades. They substitute street art and cobblestones with boutique shops and tiled floors. The city features several glamourous arcades, including The Royal Arcade, the oldest arcade in Australia. While it’s very easy to visit them all (and we suggest you do) our pick of the bunch is The Block Arcade. Modelled after the Galleria Vittorio Emanuele in Milan – it’s a pretty blatant copy – The Block Arcade features a giant domed roof, mosaic floor, and carved stone finishings. Why is it called ‘The Block Arcade’? From the 1860s to the 1930s, men and women would walk around this city block, dressed in their finest clothes in an attempt to be admired by others."
Flinders St Station,-37.818185387018474,144.96707372118698,4.4,4,0,City Tour,https://amble.guide/wp-content/uploads/2022/05/Flinders-St-Station-Melbourne-1536x1024.jpg,"While Sydney has the Opera House (pfft), Melbourne has Flinders Street Station. Operating as the hub of the metropolitan train network, this city icon welcomes thousands of workers into the city every day. The station is also Melbourne’s most popular meeting place. Phrases like “I’ll meet you under the clocks” refers to the clocks that indicate train departures – important knowledge if you want to blend in with the locals. While you can venture into Flinders Street Station, there isn’t much to do unless you’re catching a train."
Chinatown,-37.81187038283028,144.96681969307306,4.3,4,0,City Tour,https://amble.guide/wp-content/uploads/2022/05/Chinatown-Melbourne-3.jpg,"During the Victorian Gold Rush (1851) thousands of Chinese workers immigrated to Melbourne in order to mine the goldfields. With the offer of riches, the Chinese commonly referred to Victoria as ‘New Gold Mountain.’ The Chinese settlers established a community in the city centre, and this has evolved into Melbourne’s Chinatown – the world’s oldest Chinese settlement in the Western world. Taking up two blocks, the opium dens and brothels have been replaced with dumpling houses and bars. Hutong & Shandong Mama are widely regarded for their handmade parcels of deliciousness."
City Circle Tram,-37.810855543979486,144.96177003115935,4.2,4.5,0,City Tour,https://amble.guide/wp-content/uploads/2022/07/City-Circle-Tram-Melbourne.jpg,"Jumping on a tram is an instinctive behaviour of the Melbournian. As a tourist, you’ll need to join the locals, and the best way to practice is by catching the No 35. This is the City Circle Tram, an iconic heritage W-Class tram (one of the old ones) that travels in a loop around the city centre. You’ll pass city landmarks and major attractions, including Melbourne Museum, Parliament House, State Library of Victoria, Docklands, Federation Square, and the Sealife Aquarium."
Federation Square,-37.817923810012125,144.96906839725096,4.5,4,0,City Tour,https://amble.guide/wp-content/uploads/2022/05/Federation-Square-Melbourne-1.jpg,"Located on the busiest intersection in Melbourne, Federation Square (more commonly called Fed Square) is the city’s only official town square. It was opened in 2002, 101 years after Australia’s federation from Britain. At the time of construction, Federation Square was one of Melbourne’s most controversial constructions; many critiqued its ‘army camouflage’ colours, claiming that it looked like a war-torn site. But now, Fed Square is an integral part of the city’s identity. Inside you’ll find the Ian Potter Centre, the world’s first major gallery dedicated exclusively to Australian art."
Melbourne Skydeck,-37.82110527480632,144.96470356436274,4.5,4.5,18.19,Casual,https://amble.guide/wp-content/uploads/2022/05/Eureka-Skydeck-Melbourne-7.jpg,"Rising 297 metres (975 ft) above Southbank, is Eureka Tower, one of the tallest residential towers in the world. Named after the Eureka Stockade (a rebellion during the Victorian gold rush) the building’s top is coated in 24-carat gold and split by a red stripe, representing the bloodshed during the battle. It’s here that you can access the Eureka Skydeck and enjoy an impressive panoramic view of the city."
State Library of Victoria,-37.809656098219286,144.965211155019,4.7,4.5,0,Indoor,https://amble.guide/wp-content/uploads/2022/05/State-Library-of-Victoria-Melbourne-2.jpg,"Melbourne can claim many of Australia’s oldest attractions; the oldest public art gallery, oldest building, and the oldest arcade. We also have the oldest public library in Australia, and indeed one of the first libraries in the world. The State Library of Victoria is opposite Melbourne Central – and is filled with historical artifacts."
Section 8 Laneways of Melbourne,-37.81163122585187,144.965867117843,4.4,5,63.65,Feature,https://amble.guide/wp-content/uploads/2022/04/Section-8-CBD-1.jpg,"Explore the famous laneways of Melbourne during this walking tour. Discover hidden highlights such as art galleries, amazing street art, quirky shops, and some of the city’s best restaurants and bars. Listen to informative commentary from your guide about the history of the city, and even stop for a coffee and macarons tasting along the way."
The Ian Potter Centre: NGV Australia,-37.81683881254975,144.9696874201834,4.6,4.5,21,Indoor,https://amble.guide/wp-content/uploads/2022/05/National-Gallery-of-Victoria-Melbourne-1-1.jpg,"The National Gallery of Victoria (NGV) is the oldest and most visited gallery in Australia. Situated over two magnificent buildings – NGV International and NGV Australia – the Gallery presents over 40 exhibitions a year including major international blockbusters and a wide range of exhibitions, programs and events, from contemporary art to fashion and design, and major historical exhibitions that are internationally exclusive to Melbourne."
