name,tripadvisor_link,description,cuisines,price,google_maps_rating,rating,food_rating,service_rating,value_rating,atmosphere_rating,number_comments
Rice Paper Scissors,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d5539081-Reviews-Rice_Paper_Scissors-Melbourne_Victoria.html,"15 Hardware Ln, Melbourne VIC 3000","Asian, Thai, Vietnamese, Fusion",2,4.5,4.5,4.5,4.5,4.5,4.5,2585
Lucy Liu Kitchen and Bar,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d6914810-Reviews-Lucy_Liu_Kitchen_and_Bar-Melbourne_Victoria.html,"23 Oliver Ln, Melbourne VIC 3000",Asian,3,4.5,4.5,4.5,4.5,4,4,1189
Ciao Cielo,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d2437014-Reviews-Ciao_Cielo-Melbourne_Victoria.html,"115 Bay St, Port Melbourne VIC 3207",Italian,3,4.3,4.5,4.5,4.5,4.5,4.5,3027
Il Duca,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d738587-Reviews-Il_Duca-Melbourne_Victoria.html,"132 Wellington Parade, East Melbourne VIC 3002","Bar, Cafe, Australian, International",2,4.4,3.5,3.5,4,3.5,3.5,583
Young and Jacksons,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d2702138-Reviews-Young_and_Jacksons-Melbourne_Victoria.html,"1 Swanston St, Melbourne VIC 3000","Bar, Pub",2,4.2,4,4,4.5,4,4.5,359
Koko Japanese Restaurant,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d726464-Reviews-Koko_Japanese_Restaurant-Melbourne_Victoria.html,"Level 3, Crown Towers, 8 Whiteman St, Southbank VIC 3006","Japanese, Sushi, Asian",3,4.3,4,4,4,3.5,4.5,323
Oak & Vine,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d8822103-Reviews-Oak_Vine-Melbourne_Victoria.html,"60 Market St, Melbourne VIC 3000","Bar, Australian, Contemporary",0,0,4.5,4.5,4.5,4.5,0,107
Pretty Boy Italian Steakhouse,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d15613856-Reviews-Pretty_Boy_Italian_Steakhouse-Melbourne_Victoria.html,"level 1/399 Little Lonsdale St, Melbourne VIC 3000","Italian, Steakhouse",0,4.3,4.5,4.5,4.5,4.5,0,69
Time Out Fed Square,https://www.tripadvisor.com.au/Restaurants-g255100-Melbourne_Victoria.html,"2 Swanston St, Melbourne VIC 3000","Bar, Cafe, Australian, International",2,4,3.5,3.5,4,3.5,3.5,583
Hawker Boys,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d10469264-Reviews-Hawker_Boys-Melbourne_Victoria.html,"85 Hardware Ln, Melbourne VIC 3000","Asian, Vietnamese",1,4.2,4.5,4.5,4.5,4.5,0,69
Degraves Espresso Melbourne,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d1111272-Reviews-Degraves_Espresso_Melbourne-Melbourne_Victoria.html,"23-25 Degraves St, Melbourne VIC 3000",Cafe,2,3.9,3.5,4,3.5,3.5,4,459
Blossom Thai,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d5076484-Reviews-Blossom_Thai-Melbourne_Victoria.html,"36 Cunningham St, South Yarra VIC 3141","Asian, Thai",2,4.6,4,4,4.5,4,3.5,106
Spice Club Indian Brasserie,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d3861852-Reviews-Spice_Club_Indian_Brasserie-Melbourne_Victoria.html,"308 Toorak Rd, South Yarra VIC 3141","Indian, Asian",2,4.1,4.5,4.5,4.5,4,4.5,73
Meatworksco,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d10028753-Reviews-Meatworksco-Melbourne_Victoria.html,"28/30 Ross St, South Melbourne VIC 3205","International, Barbecue, Grill, Australian",2,4.6,4,4,4,4,0,70
Platform 270,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d7677873-Reviews-Platform_270-Melbourne_Victoria.html,"270 Flinders St, Melbourne VIC 3000",Australian,1,4,4,4,4,3.5,0,111
Fancy Hank's,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d4829516-Reviews-Fancy_Hank_s-Melbourne_Victoria.html,"1/79 Bourke St, Melbourne VIC 3000","Barbecue, American",1,4.2,3.5,4,4,3.5,3.5,351
Foglia di Fico,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d12974395-Reviews-Foglia_di_Fico-Melbourne_Victoria.html,"585 La Trobe St, Melbourne VIC 3000","Italian, European",2,4.8,5,5,5,4,0,197
11 Inch Pizza,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d3233266-Reviews-11_Inch_Pizza-Melbourne_Victoria.html,"7a/353 Little Collins St, Melbourne VIC 3000","Italian, Pizza",2,4.8,4.5,4.5,4.5,4.5,3.5,317
Geppetto Trattoria,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d944260-Reviews-Geppetto_Trattoria-Melbourne_Victoria.html,"78A Wellington Parade, East Melbourne VIC 3002",Italian,2,4.7,4.5,4.5,5,4.5,4,433
Cucinetta ,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d8371864-Reviews-Cucinetta-Melbourne_Victoria.html,"Unit 4/3 Murphy St, South Yarra VIC 3141","Italian, Mediterranean, European",2,4.7,4.5,4.5,5,4.5,0,398
Straight Outta Saigon,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d16894781-Reviews-Straight_Outta_Saigon-Melbourne_Victoria.html,"138 Russell St, Melbourne VIC 3000","Asian, Vietnamese, Fusion, Street Food",1,4.3,4.5,4.5,4.5,4.5,0,334
The Glasshouse Caulfield,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d9710918-Reviews-The_Glasshouse_Caulfield-Melbourne_Victoria.html,"31 Station St, Caulfield East VIC 3145","Bar, Australian",2,3.8,3.5,3.5,4,3.5,0,73
Eau De Vie,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d3398372-Reviews-Eau_De_Vie-Melbourne_Victoria.html,"138 Russell St, Melbourne VIC 3000","Bar, Australian",3,4.7,4.5,4.5,4.5,4,5,814
Mister Munro Restaurant & Bar,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d16871143-Reviews-Mister_Munro_Restaurant_Bar-Melbourne_Victoria.html,"215 Little Collins St, Melbourne VIC 3000",Australian,0,4.3,3.5,3.5,3.5,3.5,0,28
