Year,Month,Precipitation (mm),Mean maximun temperture (°C),Mean minimum temperture (°C),Mean daily solar exposure (MJ/(m*m)),Mean daily wind run (km)
2020,January,100,27.8,13.7,21.8,446
2020,February,56.6,24.9,14.4,17.6,422
2020,March,89.8,22.9,12.2,14.8,426
2020,April,130.8,18.8,9.9,10.2,432
2020,May,49.8,15.5,7.1,8.4,482
2020,June,22.8,14.2,5.6,7.4,387
2020,July,28,13.2,5.5,7.6,386
2020,August,66.8,14.5,5.9,10.5,505
2020,September,27.8,17.7,8.1,14.6,503
2020,October,64.4,19,9,15.3,460
2020,November,44.8,24.8,11.9,21.5,445
2020,December,30.8,23.8,11.2,22.5,494
2021,January,106.4,26.1,13.7,21.2,452
2021,February,5.2,25.3,13,18.9,445
2021,March,49,22.5,12,13.7,361
2021,April,13.2,20.6,10,10.9,392
2021,May,67.6,17.3,7.3,7.9,438
2021,June,50.4,14.5,6.4,6.9,485
2021,July,24,13.5,5.4,8,481
2021,August,35.2,15.8,6.4,10.8,527
2021,September,66.6,17.9,7.3,14.2,526
2021,October,126.8,19.2,8.1,17.7,456
2021,November,86,20.3,10,19.3,453
2021,December,34.8,24.7,11.7,23.2,460
2022,January,58.2,30,16.4,22.8,455
2022,February,4.8,26.3,13.8,19.9,421
2022,March,67,24.6,14.1,14.6,397
2022,April,68.2,20.7,11.1,9.9,386
2022,May,17.2,16.4,7.8,7.9,371
2022,June,30.6,13.6,6.5,7,522
2022,July,38.2,13.4,4.4,8.3,400
2022,August,62,15,6.8,9.8,492
2022,September,49,16.1,7.1,11.9,413
2022,October,146,18.9,9.1,16.2,388
2022,November,74.8,20.1,9.7,19.6,450
2022,December,94.2,24.1,11.6,24.3,440
